Categoria Amazon;ASIN Amazon;Produto Amazon;Nota Amazon;Avaliações Amazon;Link Amazon;ASIN Mercado Livre;Produto Mercado Livre;Nota Mercado Livre;Avaliações ML;Link Mercado Livre;Similaridade;Nota Geral Ponderada
Bebês;B07GQB93FT;Fralda Pampers Premium Care Recém-Nascido RN 36 Unidades;4.9;8929;https://www.amazon.com.br/dp/B07GQB93FT;MLB17335938;Fralda Descartável Pampers Premium Care Recém-nascido Rn 20 Unidades;4.9;22324;https://www.mercadolivre.com.br/fralda-descartavel-pampers-premium-care-recem-nascido-rn-20-unidades/p/MLB17335938;0.753;4.9
Bebês;B0C5SQNSL4;Fralda Pampers Pants Ajuste Total Tamanho M, Fácil de Vestir, 112 Unidades;4.8;3600;https://www.amazon.com.br/dp/B0C5SQNSL4;MLB19485102;Fralda Pampers Pants Ajuste Total M 112 Unidades;4.9;28157;https://www.mercadolivre.com.br/fralda-pampers-pants-ajuste-total-m-112-unidades/p/MLB19485102;0.72;4.89
Beleza;B07BKBTMLY;Gillette Mach3 - Carga para Aparelho de Barbear, Leve 8 Pague 6 (o pacote pode variar);4.8;22485;https://www.amazon.com.br/dp/B07BKBTMLY;MLB16088420;Carga Aparelho De Barbear Gillette Mach3 Sensitive Com Aloe 16 Unidades;4.9;29596;https://www.mercadolivre.com.br/carga-aparelho-de-barbear-gillette-mach3-sensitive-com-aloe-16-unidades/p/MLB16088420;0.735;4.86
Beleza;B079VXJK79;Cetaphil Creme Hidratante;4.8;28354;https://www.amazon.com.br/dp/B079VXJK79;MLB18390579;Cetaphil Creme Hidratante Corporal 453g | Pele Sensível, Normal A Seca | Hidratação 48h | Niacinamida E Pantenol (pró-vitamina B5) Neutra;4.9;46602;https://www.mercadolivre.com.br/cetaphil-creme-hidratante-corporal-453g-pele-sensivel-normal-a-seca-hidrataco-48h-niacinamida-e-pantenol-pro-vitamina-b5/p/MLB18390579;0.727;4.86
Brinquedos e Jogos;B0DFFTP71B;Bicicleta De Equilibrio Buba, 4 Rodas;4.8;4411;https://www.amazon.com.br/dp/B0DFFTP71B;MLB25839994;Bicicleta De Equilíbrio 4 Rodas Buba Infantil Sem Pedal Cor Rosa;4.9;17269;https://www.mercadolivre.com.br/bicicleta-de-equilibrio-4-rodas-buba-infantil-sem-pedal-cor-rosa/p/MLB25839994;0.827;4.88
Brinquedos e Jogos;B0D221YB3L;Brastoy Blocos de Montar Magnéticos Infantil Construção Brinquedo (102 Peças);5.0;2620;https://www.amazon.com.br/dp/B0D221YB3L;MLB62513055;Kit 80 Blocos Magnéticos De Montar Construção Pedra, Água E Tijolo Brinquedo Educativo;4.7;909;https://www.mercadolivre.com.br/kit-80-blocos-magneticos-de-montar-construco-pedra-agua-e-tijolo-brinquedo-educativo/p/MLB62513055;0.778;4.92
Computadores e Informática;B0F1G2TL8P;Mouse Sem Fio Recarregável Wireless Bluetooth Optico Led Rgb Colorido Ergonômico Usb 2.4 Ghz Notebook Computador Pc Desktop Linha Premium - Cores Sortidas;4.5;9340;https://www.amazon.com.br/dp/B0F1G2TL8P;MLB64093163;Mouse Sem Fio Recarregável Wireless Optico Led Rgb Ergonômico Sem Fio Para Pc Desktop Notebook Tablet Smartphone Homeroarte Preto;4.8;67430;https://www.mercadolivre.com.br/mouse-sem-fio-recarregavel-wireless-optico-led-rgb-ergonmico-sem-fio-para-pc-desktop-notebook-tablet-smartphone-homeroarte-preto/p/MLB64093163;0.954;4.76
Cozinha;B08DFCF9HW;Liquidificador 1400 Full Oster Preto 3,2L - 127V;4.5;41397;https://www.amazon.com.br/dp/B08DFCF9HW;MLB16602519;Liquidificador Full 1400w 15 Velocidades Oliq610 Preto Oster;4.7;44003;https://www.mercadolivre.com.br/liquidificador-full-1400w-15-velocidades-oliq610-preto-oster/p/MLB16602519;0.736;4.6
Cozinha;B07QK91PTZ;MONDIAL Liquidificador Turbo Power, Preto, 550W, 220V - L-99 FB;4.6;39645;https://www.amazon.com.br/dp/B07QK91PTZ;MLB15699911;Liquidificador Turbo Power Mondial 550w L-99 Wg Branco/cinza 220v;4.7;265491;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-wg/p/MLB15699911;0.842;4.69
Cozinha;B0F256HPZJ;Filtro/Refil Original de Água Acqua Pure para Purificador Electrolux PE12A/PE12B/PE12G/PE12V/PE12P;4.8;6650;https://www.amazon.com.br/dp/B0F256HPZJ;MLB60239158;Filtro/refil De Água Acqua Pure Para Purificador Electrolux Pe12a/pe12b/pe12g/pe12v/pe12p - Filtro Água Pe12 / Pc02;4.9;4215;https://www.mercadolivre.com.br/filtrorefil-de-agua-acqua-pure-para-purificador-electrolux-pe12ape12bpe12gpe12vpe12p-filtro-agua-pe12-pc02/p/MLB60239158;0.782;4.84
Cozinha;B0789M146B;Faqueiro Tramontina Búzios cem Aço Inox com Detalhe 24 Peças;4.7;14966;https://www.amazon.com.br/dp/B0789M146B;MLB35092029;Jogo Talheres Faqueiro Búzios Aço Inox 24 Peças Tramontina;4.8;29628;https://www.mercadolivre.com.br/jogo-talheres-faqueiro-buzios-aco-inox-24-pecas-tramontina/p/MLB35092029;0.783;4.77
Cozinha;B076BL1265;Liquidificador, Ph900, 3L, Preto, 110V, Philco;4.6;906;https://www.amazon.com.br/dp/B076BL1265;MLB15578942;Liquidificador Philco 1200w 3l 12 Velocidades Preto Ph900 220v;4.8;71332;https://www.mercadolivre.com.br/liquidificador-philco-1200w-3l-12-velocidades-preto-ph900/p/MLB15578942;0.845;4.8
Cozinha;B0CX23Y6LP;Balança de Cozinha Digital para Alimentos em Inox Resistente a Água Com Base Antiderrapante e Visor de Alta Definição Pesagem de 1g até 10kg;4.3;2804;https://www.amazon.com.br/dp/B0CX23Y6LP;MLB22501933;Balança Digital De Precisão Davely Cook Cozinha Para Uso Domestico E Profissional Fitness Ideal Para Dietas Treinos Alimentos Confeitaria Nutrição Capacidade Máxima 10 Kg Branco;4.8;13167;https://www.mercadolivre.com.br/balanca-digital-de-preciso-davely-cook-cozinha-para-uso-domestico-e-profissional-fitness-ideal-para-dietas-treinos-alimentos-confeitaria-nutrico-capacidade-maxima-10-kg-branco/p/MLB22501933;0.719;4.71
Eletrônicos;B0FPJ5GYPG;"Celular Samsung Galaxy A07 128GB, 4GB, Câm. 50MP, Tela 6.7""- Verde";4.7;8260;https://www.amazon.com.br/dp/B0FPJ5GYPG;MLB57767498;Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta;4.9;26432;https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-violeta/p/MLB57767498;0.82;4.85
Eletrônicos;B0DJFTJ6LX;Apple iPhone 16 (128 GB) – Preto;4.8;363;https://www.amazon.com.br/dp/B0DJFTJ6LX;MLB1040287800;Apple iPhone 16 (128 Gb) - Ultramarine - Distribuidor Autorizado;4.9;23714;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarine-distribuidor-autorizado/p/MLB1040287800;0.941;4.9
Eletrônicos;B0CP6CVJSG;Apple iPhone 15 (128 GB) — Preto;4.8;8484;https://www.amazon.com.br/dp/B0CP6CVJSG;MLB1027172666;Apple iPhone 15 (512 Gb) - Preto - Distribuidor Autorizado;4.9;23635;https://www.mercadolivre.com.br/apple-iphone-15-512-gb-preto-distribuidor-autorizado/p/MLB1027172666;0.914;4.87
Eletrônicos;B0DXR7GNWJ;Apple iPhone 16e de 128 GB — Preto;4.8;237;https://www.amazon.com.br/dp/B0DXR7GNWJ;MLB1040287800;Apple iPhone 16 (128 Gb) - Ultramarine - Distribuidor Autorizado;4.9;23714;https://www.mercadolivre.com.br/apple-iphone-16-128-gb-ultramarine-distribuidor-autorizado/p/MLB1040287800;0.724;4.9
Eletrônicos;B0778VZYVV;Duracell Pilha Alcalina AA Pequena Com 16 Unidades – Dura até 10x Mais – Ideal para Controle Xbox™, Brinquedos e Lanternas;4.8;22892;https://www.amazon.com.br/dp/B0778VZYVV;MLB19748584;Pilha Alcalina Aa Pequena Duracell Com 16 Unidades;4.9;14954;https://www.mercadolivre.com.br/pilha-alcalina-aa-pequena-duracell-com-16-unidades/p/MLB19748584;0.879;4.84
Eletrônicos;B0F7M1YN3L;"Smart TV 32"" Philco LED Roku Tv HD Dolby Audio P32CRA";4.6;4420;https://www.amazon.com.br/dp/B0F7M1YN3L;MLB39456212;Smart Tv 32 Philco Ptv32k34rkgb Roku Tv Led Dolby Audio;4.8;7818;https://www.mercadolivre.com.br/smart-tv-32-philco-ptv32k34rkgb-roku-tv-led-dolby-audio/p/MLB39456212;0.841;4.73
Eletrônicos;B0FPHYC9FQ;"Celular Samsung Galaxy A07 128GB, 4GB, Câm. 50MP, Tela 6.7""- Preto";4.8;2420;https://www.amazon.com.br/dp/B0FPHYC9FQ;MLB57767498;Celular Samsung Galaxy A07 128gb, 4gb, Câmera 50mp, Tela 6.7 , Proteção Ip54, Processador 6nm - Violeta;4.9;26432;https://www.mercadolivre.com.br/celular-samsung-galaxy-a07-128gb-4gb-cmera-50mp-tela-67-proteco-ip54-processador-6nm-violeta/p/MLB57767498;0.854;4.89
Eletrônicos;B0DNRFGBQ4;"Celular Samsung Galaxy A16, 128GB + 4GB RAM, Câmera de até 50MP, Tela 6.7"", NFC, IP54, Bateria 5000 mAh - Preto";4.7;2865;https://www.amazon.com.br/dp/B0DNRFGBQ4;MLB44113907;Celular Samsung Galaxy A16 4g, 256gb + 8gb Ram, Câmera De Até 50mp, Tela 6.7 , Nfc, Ip54, Bateria 5000 Mah Cinza;4.9;84425;https://www.mercadolivre.com.br/celular-samsung-galaxy-a16-4g-256gb-8gb-ram-cmera-de-ate-50mp-tela-67-nfc-ip54-bateria-5000-mah-cinza/p/MLB44113907;0.728;4.89
Eletrônicos;B0DYVPCX34;"Smartphone Samsung Galaxy A56 5G 256GB, 8GB RAM, Câmera 50MP, IP67, Super AMOLED 6.7"", Recursos AI, Preto";4.8;3097;https://www.amazon.com.br/dp/B0DYVPCX34;MLB47114363;Celular Samsung Galaxy A56 5g 256gb 8gb Ram Cinza;4.9;35669;https://www.mercadolivre.com.br/celular-samsung-galaxy-a56-5g-256gb-8gb-ram-cinza/p/MLB47114363;0.776;4.89
Eletrônicos;B0D9ZMKMB6;Smart TV 32” Philco PTV32K34RKGB Roku TV Led Dolby Audio;4.7;8150;https://www.amazon.com.br/dp/B0D9ZMKMB6;MLB39456212;Smart Tv 32 Philco Ptv32k34rkgb Roku Tv Led Dolby Audio;4.8;7818;https://www.mercadolivre.com.br/smart-tv-32-philco-ptv32k34rkgb-roku-tv-led-dolby-audio/p/MLB39456212;1.0;4.75
Eletrônicos;B0DVMQVVDY;PHILIPS, Fone de Ouvido Sem Fio TWS, TAT1109BK/00, Bluetooth, Com Microfone, Até 24 horas de bateria, Preto;4.6;5955;https://www.amazon.com.br/dp/B0DVMQVVDY;MLB47815743;Fone De Ouvido Bluetooth Sem Fio Tws Esportivo Compatível Com iPhone Samsung Xiaomi Lenovo Motorola Xt80 Lp75 Celular Android Ios Academia Caminhada Tipo Gancho Preto;4.7;8338;https://www.mercadolivre.com.br/fone-de-ouvido-bluetooth-sem-fio-tws-esportivo-compativel-com-iphone-samsung-xiaomi-lenovo-motorola-xt80-lp75-celular-android-ios-academia-caminhada-tipo-gancho/p/MLB47815743;0.828;4.66
Games e Consoles;B0CQKLS4RP;PlayStation DualSense Controle sem fio – Branco;4.8;41396;https://www.amazon.com.br/dp/B0CQKLS4RP;MLB33997846;Controle Joystick Sem Fio Sony Playstation Dualsense Branco;4.9;20374;https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-dualsense-branco/p/MLB33997846;1.0;4.83
Games e Consoles;B07FN1MZBH;Controle Dualshock 4 - PlayStation 4 - Preto;4.8;25828;https://www.amazon.com.br/dp/B07FN1MZBH;MLB10312325;Controle Joystick Sem Fio Sony Playstation Dualshock 4 Wireless Controller Sunset Orange;4.8;10175;https://www.mercadolivre.com.br/controle-joystick-sem-fio-sony-playstation-dualshock-4-wireless-controller-sunset-orange/p/MLB10312325;0.701;4.8
Games e Consoles;B0CTQ6V17N;Suporte Vertical para PS5/PS5 Slim - Base Antiderrapante, Design Minimalista, Melhor Dissipação de Calor, Fácil de Instalar;4.8;1222;https://www.amazon.com.br/dp/B0CTQ6V17N;LBU3092993382;Suporte Base Vertical Para Playstation 5 Ps5 Slim Fat Todos Preto;4.6;3014;https://www.mercadolivre.com.br/suporte-base-vertical-para-playstation-5-ps5-slim-fat-todos/up/MLBU3092993382;0.721;4.66
Instrumentos Musicais;B079KFD41R;Flauta Doce Soprano Barroca C, Yamaha, YRS-24B;4.8;1928;https://www.amazon.com.br/dp/B079KFD41R;MLB27058203;Caixa De Flauta Yamaha 10 Pz Soprano C School Fresco Yrs-24b;4.9;4359;https://www.mercadolivre.com.br/caixa-de-flauta-yamaha-10-pz-soprano-c-school-fresco-yrs-24b/p/MLB27058203;0.794;4.87
