Posição Global;Posição Categoria;Subcategoria;ASIN;Nome;Preço à vista;Nota Geral;Qtd. Avaliações;Nota Comentário;Data Comentário;Comentário;Link
1;1;ELETRODOMÉSTICOS;MLB15699907;Liquidificador Turbo Power Mondial 550w L-99 Fr Vermelho 220v;94,90;4,7;243450;N/A;N/A;Sem comentários disponíveis;https://www.mercadolivre.com.br/liquidificador-turbo-power-mondial-550w-l-99-fr/p/MLB15699907
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;26/10/2022;Dentro do esperado para um produto de entrada. Não tenho nada do que reclamar. Não é super silencioso, mas também não é super barulhento. Tem um vento suficiente para refrescar. Gostaria que na velocidade mais baixa tivesse menos vento, mesmo na velocidade mais baixa ele ainda faz mt vento, mas para quem gosta vai ser perfeito.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;07/03/2023;Comprei pra usar no meu trabalho, pois ar condicionado queimou, está me salvando a vida, pois sem ele estava um inferno trabalhar, com ele não estou passando calor, super silencioso e muito vento. Parabéns, excelente produto.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;14/12/2022;Ótimo, ate que venta bem pelo tamanho e pelo preço ta bom. Ja tive da mesma marca e tamanho mais fracos. Esse melhoraram ventila mais e mais potente. Mais se tiver muito muito calor recomendo um de 40 cm e q seja mais potente tipo arno é melhor sem dúvida. Esse é mais um quebra galho pra calorzinho pra quarto.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;4;16/03/2023;Pedi azul pretroleo veio sinza , pedi 40 cm depois que finalizei a compra atualizou e mudou pra 30 cm. Tirando isso tá funcionando tudo ok.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;09/03/2023;Gente eu amei o ventilador. Do tamanho que queria e venta muito!.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;12/02/2023;Produto de ótima qualidade,silencioso.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;10/06/2023;Top.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;04/02/2023;Ótimo. Veio certinho. Muito bom. Superou minhas expectativas. Recomendo para quem quer um ventilador pequeno e bom.;https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
2;2;ELETRODOMÉSTICOS;MLB18932156;Ventilador De Mesa 30cm Super Power, Mondial, 60w - Vsp-30-b Preto 30 Cm 127v Prata Polipropileno 6;102,33;4,7;116060;5;17/12/2024;"Muito bom. Eu tenho um maior e esse que eu comprei. O maior faz mais barulho do que ventila. Esse mesmo que ""pequeno"" é mais silencioso e a ventilação é maior! recomendo 100%. Estou usando o produto a 3 meses. Sempre deixo para avaliar depois. Podem comprar sem medo.";https://www.mercadolivre.com.br/ventilador-de-mesa-30cm-super-power-mondial-60w-vsp-30-b-preto/p/MLB18932156
